username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,150000,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,76700,https://github.com/nvm-sh/nvm
junegunn,fzf,61100,https://github.com/junegunn/fzf
google,zx,42100,https://github.com/google/zx
starship,starship,41800,https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,38100,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,37200,https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,36100,https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,35300,https://github.com/koalaman/shellcheck
alebcay,awesome-shell,31600,https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,29900,https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,29400,https://github.com/jaywcjlove/linux-command
withfig,autocomplete,24400,https://github.com/withfig/autocomplete
dylanaraps,neofetch,21400,https://github.com/dylanaraps/neofetch
kingToolbox,WindTerm,21100,https://github.com/kingToolbox/WindTerm
asdf-vm,asdf,20900,https://github.com/asdf-vm/asdf
ajeetdsouza,zoxide,19800,https://github.com/ajeetdsouza/zoxide
warpdotdev,Warp,19500,https://github.com/warpdotdev/Warp
Nyr,openvpn-install,18500,https://github.com/Nyr/openvpn-install
atuinsh,atuin,18300,https://github.com/atuinsh/atuin
